	aCO2-1	aCO2-2	aCO2-3	aCO2-4	aCO2-5	aCO2-6
PASV1	0.116113558	0.112771312	0.119534445	0.10101447	0.101604278	0.117057251
PASV2	0.056267694	0.037433155	0.047341931	0.036568103	0.069204152	0.040146272
PASV3	0.045218622	0.044235609	0.053947782	0.041837056	0.044786096	0.0493866
PASV5	0.036804026	0.040854042	0.037983643	0.031141869	0.038337528	0.039123938
PASV8	0.022845234	0.033383139	0.027170494	0.032439446	0.025597672	0.026777288
PASV9	0.020879207	0.02178358	0.019188424	0.018559295	0.017654923	0.02036804
PASV19	0.009790815	0.019699591	0.009554891	0.00507235	0.00652721	0.010695187
PASV13	0.015924819	0.01093111	0.017851526	0.010813149	0.013644228	0.010655867
PASV11	0.01962095	0.010695187	0.011756842	0.013211702	0.01234665	0.014116074
PASV20	0.009083045	0.007746147	0.008296634	0.011442277	0.0072743	0.007352941
PASV30	0.00656653	0.009240327	0.009672853	0.005544196	0.007077697	0.010380623
PASV16	0.010459264	0.010105379	0.012739855	0.008217993	0.010026738	0.01234665
PASV51	0.004089336	0.004482542	0.006999056	0.005504876	0.007903429	0.003184964
PASV15	0.011402957	0.009161686	0.007628185	0.013447625	0.009279648	0.009083045
PASV17	0.010655867	0.008532557	0.008335955	0.010577226	0.009869456	0.009279648
PASV18	0.009161686	0.011245675	0.010105379	0.008493237	0.009790815	0
PASV41	0.005150991	0.00436458	0.003302925	0.004285939	0.002241271	0.00436458
PASV24	0.00868984	0.005347594	0.006134004	0.007903429	0.00436458	0.00578012
PASV25	0.007431582	0.005465555	0.00802139	0.005347594	0.004010695	0.008139352
PASV23	0.008768481	0.004679144	0.005898081	0.006723813	0.003932054	0.007195659
PASV26	0.007352941	0.006212645	0.004993709	0.006330607	0.005622837	0.005347594
PASV28	0.00652721	0.006251966	0.00581944	0.005740799	0.004639824	0.004797106
PASV42	0.005308273	0.005622837	0.005190311	0.006920415	0.004128657	0.005308273
PASV44	0.004010695	0.006802454	0.006448569	0.004797106	0.006409248	0.006684492
PASV35	0.005504876	0.004797106	0.004403901	0.007549544	0.00507235	0.00511167
PASV54	0.00365681	0.006134004	0.00511167	0.004836427	0.00656653	0.006212645
PASV179	0.001376219	0.002398553	0.001926707	0.002477194	0.001572822	0.001533501
PASV78	0.002673797	0.003067002	0.002555835	0.002123309	0.001769424	0.002241271
PASV45	0.004443221	0.005701478	0.00507235	0.004836427	0.00436458	0.00507235
PASV87	0.002241271	0.00220195	0.003774772	0.003460208	0.002713117	0.002988361
PASV29	0.006763133	0.004521862	0.003853413	0.003145643	0.004285939	0.006605851
PASV56	0.003892734	0.00511167	0.003971375	0.00511167	0.006684492	0.004954388
PASV36	0.005465555	0.004836427	0.007706826	0.006251966	0.003420887	0.003774772
